id_persona,CURP,nombre,apellido_paterno,apellido_materno,sexo,año_nacimiento,edad_censo_2020,estado,municipio,localidad,clave_geo,AGEB,MZA,lat,lon,nivel_educativo,estado_civil,num_dependientes,tipo_vivienda,acceso_agua,acceso_drenaje,acceso_electricidad,tiene_internet,tiene_computadora,hacinamiento_index,religion,habla_lengua_indigena
1,BMRD990501MNLPHXLG3,Karla,Medina,Flores,Mujer,1999,21,Nuevo León,General Escobedo,El Mirador,19021,3763,014,25.829174,-100.326918,Preparatoria,Soltero(a),3,Casa rentada,Sí,Sí,Sí,Sí,No,2.37,Católica,No
2,KJDK050319HNLQKCBJ3,Diego,Jiménez,Ramírez,Hombre,2005,15,Nuevo León,General Escobedo,Valle Oriente,19021,3740,045,25.835889,-100.343937,Secundaria,Casado(a),1,Casa propia (crédito),Sí,Sí,Sí,Sí,No,2.44,Católica,No
3,QSWO000402MNLCCNJH3,Rosa,Castro,Muñoz,Mujer,2000,20,Nuevo León,Apodaca,Cumbres,19006,1209,011,25.782451,-100.187479,Licenciatura,Casado(a),1,Casa rentada,Sí,Sí,Sí,No,No,2.94,Sin religión,No
4,LHTX000624MNLKTKPT8,Ana,de León,Medina,Mujer,2000,20,Nuevo León,Guadalupe,Las Puentes,19026,8976,016,25.675523,-100.255338,Licenciatura,Soltero(a),0,Casa propia pagada,Sí,Sí,Sí,Sí,Sí,3.28,Sin religión,No
5,KKPQ970704HNLQKXBG0,Salvador,Díaz,Medina,Hombre,1997,23,Nuevo León,Carmen,Valle Oriente,19011,9335,026,25.682871,-100.052325,Licenciatura,Soltero(a),4,Casa propia pagada,Sí,Sí,Sí,Sí,No,1.62,Católica,No
6,GEAW030922HNLJBLJX1,Óscar,Lara,Salinas,Hombre,2003,17,Nuevo León,General Escobedo,San Bernabé,19021,6684,012,25.801926,-100.328323,Secundaria,Soltero(a),2,Casa propia (crédito),No,Sí,Sí,Sí,Sí,2.5,Católica,No
7,OAEF050114HNLNNZZK8,Javier,Longoria,Herrera,Hombre,2005,15,Nuevo León,Santa Catarina,San Bernabé,19046,9141,017,25.681179,-100.455377,Licenciatura,Casado(a),0,Casa propia pagada,Sí,No,Sí,Sí,No,0.59,Sin religión,No
8,DUFM020118MNLXGQFF0,Ximena,Garza,Flores,Mujer,2002,18,Nuevo León,Monterrey,Valle Oriente,19019,2878,026,25.677184,-100.302474,Licenciatura,Casado(a),1,Casa propia (crédito),No,Sí,Sí,Sí,Sí,2.54,Católica,No
9,CUYU070922HNLGSJYY8,Miguel,Muñoz,Gómez,Hombre,2007,13,Nuevo León,Monterrey,Zona Industrial,19019,7951,009,25.688599,-100.325946,Posgrado,Soltero(a),2,Casa prestada,Sí,Sí,Sí,Sí,No,1.73,Católica,No
10,TDWU980604MNLQDMVW6,Isabella,Sánchez,Salinas,Mujer,1998,22,Nuevo León,Monterrey,Paseo de San Patricio,19019,8598,035,25.689029,-100.314537,Preparatoria,Soltero(a),1,Casa prestada,Sí,Sí,Sí,Sí,No,2.66,Católica,No
11,LGIR050305HNLKDWLM8,Rubén,Álvarez,Guerrero,Hombre,2005,15,Nuevo León,General Zuazua,San Bernabé,19023,4258,015,25.904644,-100.087667,Secundaria,Casado(a),0,Casa propia (crédito),Sí,Sí,Sí,Sí,Sí,3.16,Sin religión,No
12,NXHX020506HNLHWNJN1,Andrés,Álvarez,Álvarez,Hombre,2002,18,Nuevo León,Apodaca,Paseo de San Patricio,19006,4298,043,25.796487,-100.191033,Secundaria,Casado(a),3,Casa propia (crédito),Sí,Sí,Sí,Sí,No,0.86,Cristiana evangélica,Sí
13,JREM040712MNLNHPXC6,Alejandra,Mendoza,Morales,Mujer,2004,16,Nuevo León,General Escobedo,Colinas de San Jerónimo,19021,5921,035,25.791871,-100.332193,Preparatoria,Soltero(a),0,Casa propia (crédito),Sí,Sí,Sí,No,Sí,1.47,Católica,No
14,GXTF020120HNLYNHXB7,Diego,Ramos,Castro,Hombre,2002,18,Nuevo León,Monterrey,El Mirador,19019,7246,004,25.700534,-100.290413,Licenciatura,Unión libre,1,Casa propia (crédito),Sí,Sí,Sí,No,No,2.9,Católica,No
15,KNUL010818HNLJCWVQ4,Salvador,Pérez,Flores,Hombre,2001,19,Nuevo León,Salinas Victoria,Cumbres,19044,8909,045,25.986372,-100.275849,Secundaria,Soltero(a),0,Casa propia (crédito),Sí,Sí,Sí,No,Sí,3.74,Católica,No
16,VSFT970609MNLJXQWM6,Cristina,Muñoz,Ortiz,Mujer,1997,23,Nuevo León,General Escobedo,Col. Independencia,19021,7003,023,25.773509,-100.320152,Licenciatura,Viudo(a),5,Casa rentada,Sí,Sí,Sí,No,Sí,3.68,Católica,No
17,RMEJ971203HNLNBMPJ7,Ricardo,Guerrero,Muñoz,Hombre,1997,23,Nuevo León,Guadalupe,Zona Industrial,19026,1935,046,25.688697,-100.233389,Técnico superior,Soltero(a),2,Casa propia (crédito),Sí,Sí,Sí,No,Sí,3.84,Católica,No
18,EYNV021109HNLHBBSX2,Diego,González,Cantú,Hombre,2002,18,Nuevo León,Apodaca,Col. Independencia,19006,4496,049,25.786834,-100.180991,Secundaria,Casado(a),2,Casa propia pagada,Sí,Sí,Sí,No,No,3.54,Testigo de Jehová,No
19,FBYS001002MNLXQBLJ7,Adriana,Álvarez,Ramírez,Mujer,2000,20,Nuevo León,García,Col. Obrera,19018,9222,037,25.801885,-100.581626,Sin escolaridad,Soltero(a),1,Casa propia (crédito),Sí,Sí,Sí,Sí,Sí,2.55,Católica,No
20,YHZP010820HNLCHRQQ3,Rodrigo,Mendoza,Ramos,Hombre,2001,19,Nuevo León,Guadalupe,Valle Norte,19026,2501,032,25.687678,-100.239756,Preparatoria,Casado(a),0,Casa rentada,No,Sí,Sí,Sí,No,0.89,Católica,No
21,UGEB061212HNLTKNCF9,Miguel,Cruz,Ortiz,Hombre,2006,14,Nuevo León,General Escobedo,El Mirador,19021,8589,029,25.798341,-100.313673,Licenciatura,Soltero(a),0,Cuarto en vecindad,Sí,No,Sí,Sí,Sí,1.35,Católica,No
22,NKXM980516HNLYKZSN7,Javier,Díaz,Ruiz,Hombre,1998,22,Nuevo León,General Zuazua,Colinas de San Jerónimo,19023,3160,007,25.870804,-100.120091,Preparatoria,Divorciado(a),0,Casa rentada,Sí,No,Sí,Sí,Sí,2.19,Católica,No
23,DFZF970723HNLWXXTT9,Manuel,Flores,Mendoza,Hombre,1997,23,Nuevo León,Monterrey,Paseo de San Patricio,19019,8183,037,25.692049,-100.296738,Licenciatura,Unión libre,2,Casa prestada,Sí,Sí,Sí,Sí,Sí,1.2,Sin religión,No
24,OZIJ041221MNLJSKRD8,Verónica,Cavazos,Ramírez,Mujer,2004,16,Nuevo León,Apodaca,Mitras Centro,19006,4894,020,25.791889,-100.17476,Sin escolaridad,Casado(a),1,Casa propia (crédito),Sí,Sí,Sí,No,Sí,3.13,Católica,No
25,YJJW970118MNLBPBLG5,Daniela,Hernández,Sánchez,Mujer,1997,23,Nuevo León,Juárez,Las Puentes,19031,1529,001,25.672258,-100.101063,Licenciatura,Soltero(a),1,Casa prestada,Sí,Sí,Sí,Sí,Sí,4.06,Cristiana evangélica,No
26,TXLD980406HNLNHHWB5,Diego,Longoria,Ramírez,Hombre,1998,22,Nuevo León,Santa Catarina,La Finca,19046,5257,026,25.649807,-100.476264,Primaria completa,Casado(a),2,Casa rentada,No,No,Sí,Sí,Sí,2.15,Sin religión,No
